,ngram,freq,length,less1gram,less1gram_freq,hit_rate,suggest
17124,in favour of,9,3,in favour,9,1,of
17126,in honor of,9,3,in honor,9,1,of
17134,in support of,9,3,in support,9,1,of
17155,is able to,9,3,is able,9,1,to
17190,just going to,9,3,just going,9,1,to
17236,not able to,9,3,not able,9,1,to
17258,of trying to,9,3,of trying,9,1,to
17269,once upon a,9,3,once upon,9,1,a
17281,participant in the,9,3,participant in,9,1,the
17282,please feel free,9,3,please feel,9,1,free
17315,still trying to,9,3,still trying,9,1,to
17322,thanks so much,9,3,thanks so,9,1,much
17379,the ventimiglia italy,9,3,the ventimiglia,9,1,italy
17459,ventimiglia italy hotels,9,3,ventimiglia italy,9,1,hotels
17482,were supposed to,9,3,were supposed,9,1,to
21592,for as long as,9,4,for as long,9,1,as
21601,im looking forward to,9,4,im looking forward,9,1,to
21603,in the context of,9,4,in the context,9,1,of
21619,once upon a time,9,4,once upon a,9,1,time
21621,please feel free to,9,4,please feel free,9,1,to
21625,south carolina wedding announcements,9,4,south carolina wedding,9,1,announcements
21637,the south carolina wedding,9,4,the south carolina,9,1,wedding
21638,the ventimiglia italy hotels,9,4,the ventimiglia italy,9,1,hotels
21645,to keep track of,9,4,to keep track,9,1,of
12072,amazonca amazoncouk,8,2,amazonca,8,1,amazoncouk
12073,amazoncom amazonca,8,2,amazoncom,8,1,amazonca
12074,amazoncouk amazonde,8,2,amazoncouk,8,1,amazonde
12075,amazonde amazonfr,8,2,amazonde,8,1,amazonfr
12076,amazones certain,8,2,amazones,8,1,certain
12077,amazonfr amazonit,8,2,amazonfr,8,1,amazonit
12078,amazonit and,8,2,amazonit,8,1,and
12146,applies to,8,2,applies,8,1,to
12172,array of,8,2,array,8,1,of
12181,associates programmes,8,2,associates,8,1,programmes
12306,clin exp,8,2,clin,8,1,exp
12366,diagnosed with,8,2,diagnosed,8,1,with
12426,exp res,8,2,exp,8,1,res
12447,ferrari f,8,2,ferrari,8,1,f
12672,immersed in,8,2,immersed,8,1,in
12687,incapable of,8,2,incapable,8,1,of
12847,mitt romney,8,2,mitt,8,1,romney
13089,portrayal of,8,2,portrayal,8,1,of
13141,reluctant to,8,2,reluctant,8,1,to
13142,relying on,8,2,relying,8,1,on
13143,reminiscent of,8,2,reminiscent,8,1,of
13611,waking up,8,2,waking,8,1,up
17532,a participant in,8,3,a participant,8,1,in
17552,advertising fees by,8,3,advertising fees,8,1,by
17553,alcohol clin exp,8,3,alcohol clin,8,1,exp
17566,amazonca amazoncouk amazonde,8,3,amazonca amazoncouk,8,1,amazonde
17567,amazoncom amazonca amazoncouk,8,3,amazoncom amazonca,8,1,amazoncouk
17568,amazoncouk amazonde amazonfr,8,3,amazoncouk amazonde,8,1,amazonfr
17569,amazonde amazonfr amazonit,8,3,amazonde amazonfr,8,1,amazonit
17570,amazones certain content,8,3,amazones certain,8,1,content
17571,amazonfr amazonit and,8,3,amazonfr amazonit,8,1,and
17572,amazonit and amazones,8,3,amazonit and,8,1,amazones
17574,and amazon eu,8,3,and amazon,8,1,eu
17575,and amazones certain,8,3,and amazones,8,1,certain
17589,and linking to,8,3,and linking,8,1,to
17599,andor amazon eu,8,3,andor amazon,8,1,eu
17601,any number of,8,3,any number,8,1,of
17607,are part of,8,3,are part,8,1,of
17619,as simple as,8,3,as simple,8,1,as
17627,associates programmes designed,8,3,associates programmes,8,1,designed
17641,become one of,8,3,become one,8,1,of
17660,by advertising and,8,3,by advertising,8,1,and
17666,certain content that,8,3,certain content,8,1,that
17669,clin exp res,8,3,clin exp,8,1,res
17693,earn advertising fees,8,3,earn advertising,8,1,fees
17696,eu associates programmes,8,3,eu associates,8,1,programmes
17697,eu this content,8,3,eu this,8,1,content
17712,fees by advertising,8,3,fees by,8,1,advertising
17714,ferrari f challenge,8,3,ferrari f,8,1,challenge
17724,for sites to,8,3,for sites,8,1,to
17739,get used to,8,3,get used,8,1,to
17750,had lots of,8,3,had lots,8,1,of
17777,highly radioactive water,8,3,highly radioactive,8,1,water
17842,im supposed to,8,3,im supposed,8,1,to
17852,in los angeles,8,3,in los,8,1,angeles
17892,is subject to,8,3,is subject,8,1,to
17947,leading up to,8,3,leading up,8,1,to
17951,lets face it,8,3,lets face,8,1,it
17965,llc and amazon,8,3,llc and,8,1,amazon
17966,llc andor amazon,8,3,llc andor,8,1,amazon
17981,me want to,8,3,me want,8,1,to
17983,might as well,8,3,might as,8,1,well
17984,might want to,8,3,might want,8,1,to
18007,not part of,8,3,not part,8,1,of
18061,or removal at,8,3,or removal,8,1,at
18081,programmes designed to,8,3,programmes designed,8,1,to
18084,quite some time,8,3,quite some,8,1,time
18087,removal at any,8,3,removal at,8,1,any
18158,the calvin klein,8,3,the calvin,8,1,klein
18167,the ferrari f,8,3,the ferrari,8,1,f
18230,this content is,8,3,this content,8,1,is
18250,to amazoncom amazonca,8,3,to amazoncom,8,1,amazonca
18319,was part of,8,3,was part,8,1,of
18338,website comes from,8,3,website comes,8,1,from
18341,what am i,8,3,what am,8,1,i
18360,while trying to,8,3,while trying,8,1,to
18375,with regard to,8,3,with regard,8,1,to
21661,a participant in the,8,4,a participant in,8,1,the
21663,advertising and linking to,8,4,advertising and linking,8,1,to
21664,advertising fees by advertising,8,4,advertising fees by,8,1,advertising
21665,alcohol clin exp res,8,4,alcohol clin exp,8,1,res
21667,amazon eu associates programmes,8,4,amazon eu associates,8,1,programmes
21668,amazon eu this content,8,4,amazon eu this,8,1,content
21671,amazonca amazoncouk amazonde amazonfr,8,4,amazonca amazoncouk amazonde,8,1,amazonfr
21672,amazoncom amazonca amazoncouk amazonde,8,4,amazoncom amazonca amazoncouk,8,1,amazonde
21673,amazoncouk amazonde amazonfr amazonit,8,4,amazoncouk amazonde amazonfr,8,1,amazonit
21674,amazonde amazonfr amazonit and,8,4,amazonde amazonfr amazonit,8,1,and
21675,amazones certain content that,8,4,amazones certain content,8,1,that
21676,amazonfr amazonit and amazones,8,4,amazonfr amazonit and,8,1,amazones
21677,amazonit and amazones certain,8,4,amazonit and amazones,8,1,certain
21678,and amazon eu associates,8,4,and amazon eu,8,1,associates
21679,and amazones certain content,8,4,and amazones certain,8,1,content
21680,and is subject to,8,4,and is subject,8,1,to
21681,and linking to amazoncom,8,4,and linking to,8,1,amazoncom
21685,andor amazon eu this,8,4,andor amazon eu,8,1,this
21686,appears on this website,8,4,appears on this,8,1,website
21695,associates programmes designed to,8,4,associates programmes designed,8,1,to
21698,by advertising and linking,8,4,by advertising and,8,1,linking
21701,certain content that appears,8,4,certain content that,8,1,appears
21702,change or removal at,8,4,change or removal,8,1,at
21704,comes from amazon services,8,4,comes from amazon,8,1,services
21705,content is provided as,8,4,content is provided,8,1,as
21706,content that appears on,8,4,content that appears,8,1,on
21709,earn advertising fees by,8,4,earn advertising fees,8,1,by
21710,eu associates programmes designed,8,4,eu associates programmes,8,1,designed
21711,eu this content is,8,4,eu this content,8,1,is
21713,fees by advertising and,8,4,fees by advertising,8,1,and
21716,for sites to earn,8,4,for sites to,8,1,earn
21717,from amazon services llc,8,4,from amazon services,8,1,llc
21738,in the amazon services,8,4,in the amazon,8,1,services
21743,is a participant in,8,4,is a participant,8,1,in
21745,is provided as is,8,4,is provided as,8,1,is
21746,is subject to change,8,4,is subject to,8,1,change
21750,ive been able to,8,4,ive been able,8,1,to
21751,linking to amazoncom amazonca,8,4,linking to amazoncom,8,1,amazonca
21752,llc and amazon eu,8,4,llc and amazon,8,1,eu
21753,llc andor amazon eu,8,4,llc andor amazon,8,1,eu
21756,means for sites to,8,4,means for sites,8,1,to
21759,of the rest of,8,4,of the rest,8,1,of
21765,or removal at any,8,4,or removal at,8,1,any
21770,programmes designed to provide,8,4,programmes designed to,8,1,provide
21772,provided as is and,8,4,provided as is,8,1,and
21773,removal at any tim,8,4,removal at any,8,1,tim
21774,services llc and amazon,8,4,services llc and,8,1,amazon
21775,services llc andor amazon,8,4,services llc andor,8,1,amazon
21776,should be able to,8,4,should be able,8,1,to
21777,sites to earn advertising,8,4,sites to earn,8,1,advertising
21780,spent a lot of,8,4,spent a lot,8,1,of
21781,subject to change or,8,4,subject to change,8,1,or
21782,that appears on this,8,4,that appears on,8,1,this
21786,the amazon services llc,8,4,the amazon services,8,1,llc
21788,the centre of the,8,4,the centre of,8,1,the
21790,the ferrari f challenge,8,4,the ferrari f,8,1,challenge
21804,this content is provided,8,4,this content is,8,1,provided
21808,this website comes from,8,4,this website comes,8,1,from
21810,to amazoncom amazonca amazoncouk,8,4,to amazoncom amazonca,8,1,amazoncouk
21811,to change or removal,8,4,to change or,8,1,removal
21812,to earn advertising fees,8,4,to earn advertising,8,1,fees
21822,to the rest of,8,4,to the rest,8,1,of
21826,website comes from amazon,8,4,website comes from,8,1,amazon
21827,what im talking about,8,4,what im talking,8,1,about
21829,with the rest of,8,4,with the rest,8,1,of
18411,a dose of,7,3,a dose,7,1,of
18428,a plethora of,7,3,a plethora,7,1,of
18444,add it to,7,3,add it,7,1,to
18447,alice in wonderland,7,3,alice in,7,1,wonderland
18448,all across the,7,3,all across,7,1,the
18461,am able to,7,3,am able,7,1,to
18470,and directed by,7,3,and directed,7,1,by
18492,and need to,7,3,and need,7,1,to
18611,check them out,7,3,check them,7,1,out
18621,contrast to the,7,3,contrast to,7,1,the
18633,decided not to,7,3,decided not,7,1,to
18930,it werent for,7,3,it werent,7,1,for
18938,its supposed to,7,3,its supposed,7,1,to
18941,jobs north dakota,7,3,jobs north,7,1,dakota
18987,me tell you,7,3,me tell,7,1,you
19036,not supposed to,7,3,not supposed,7,1,to
19060,of olive oil,7,3,of olive,7,1,oil
19126,pharmacist jobs north,7,3,pharmacist jobs,7,1,north
19130,please let me,7,3,please let,7,1,me
19134,preheat the oven,7,3,preheat the,7,1,oven
19213,that sort of,7,3,that sort,7,1,of
19226,the addition of,7,3,the addition,7,1,of
19244,the founder of,7,3,the founder,7,1,of
19247,the height of,7,3,the height,7,1,of
19260,the likes of,7,3,the likes,7,1,of
19277,the pharmacist jobs,7,3,the pharmacist,7,1,jobs
19285,the realization that,7,3,the realization,7,1,that
19397,to rely on,7,3,to rely,7,1,on
19452,was based on,7,3,was based,7,1,on
19461,was unable to,7,3,was unable,7,1,to
19548,wouldnt it be,7,3,wouldnt it,7,1,be
19580,youre trying to,7,3,youre trying,7,1,to
21858,at the expense of,7,4,at the expense,7,1,of
21859,at the hands of,7,4,at the hands,7,1,of
21866,but i wanted to,7,4,but i wanted,7,1,to
21882,have a hard time,7,4,have a hard,7,1,time
21886,he was able to,7,4,he was able,7,1,to
21889,hour and a half,7,4,hour and a,7,1,half
21890,i am able to,7,4,i am able,7,1,to
21897,i have yet to,7,4,i have yet,7,1,to
21910,i was supposed to,7,4,i was supposed,7,1,to
21915,if i wanted to,7,4,if i wanted,7,1,to
21916,if it werent for,7,4,if it werent,7,1,for
21920,in a series of,7,4,in a series,7,1,of
21921,in an attempt to,7,4,in an attempt,7,1,to
21927,in the eyes of,7,4,in the eyes,7,1,of
21928,in the life of,7,4,in the life,7,1,of
21937,it as much as,7,4,it as much,7,1,as
21938,it is going to,7,4,it is going,7,1,to
21940,it was going to,7,4,it was going,7,1,to
21944,might be able to,7,4,might be able,7,1,to
21954,over the course of,7,4,over the course,7,1,of
21955,pharmacist jobs north dakota,7,4,pharmacist jobs north,7,1,dakota
21956,preheat the oven to,7,4,preheat the oven,7,1,to
21987,the pharmacist jobs north,7,4,the pharmacist jobs,7,1,north
21995,they are going to,7,4,they are going,7,1,to
21997,this is going to,7,4,this is going,7,1,to
22007,to spend some time,7,4,to spend some,7,1,time
22008,to take advantage of,7,4,to take advantage,7,1,of
22010,turns out to be,7,4,turns out to,7,1,be
22018,with a bit of,7,4,with a bit,7,1,of
19602,a lack of,6,3,a lack,6,1,of
19611,a pint of,6,3,a pint,6,1,of
19613,a portion of,6,3,a portion,6,1,of
19617,a source of,6,3,a source,6,1,of
19649,alcohol health res,6,3,alcohol health,6,1,res
19659,an analysis of,6,3,an analysis,6,1,of
19685,and industrial safety,6,3,and industrial,6,1,safety
19688,and lack of,6,3,and lack,6,1,of
19721,are starting to,6,3,are starting,6,1,to
19722,are supposed to,6,3,are supposed,6,1,to
19729,as hard as,6,3,as hard,6,1,as
19755,at fukushima daiichi,6,3,at fukushima,6,1,daiichi
19770,be forced to,6,3,be forced,6,1,to
19795,bits and pieces,6,3,bits and,6,1,pieces
19796,blind eye to,6,3,blind eye,6,1,to
19831,by means of,6,3,by means,6,1,of
19842,cant seem to,6,3,cant seem,6,1,to
19861,cream of tartar,6,3,cream of,6,1,tartar
19875,different kinds of,6,3,different kinds,6,1,of
19878,do about it,6,3,do about,6,1,it
19888,dont agree with,6,3,dont agree,6,1,with
19904,edt thursday march,6,3,edt thursday,6,1,march
19915,even want to,6,3,even want,6,1,to
19917,every now and,6,3,every now,6,1,and
19925,fair to say,6,3,fair to,6,1,say
19953,for hundreds of,6,3,for hundreds,6,1,of
19972,fortunate enough to,6,3,fortunate enough,6,1,to
19979,from start to,6,3,from start,6,1,to
19989,gave birth to,6,3,gave birth,6,1,to
19991,gave way to,6,3,gave way,6,1,to
20004,global markets directs,6,3,global markets,6,1,directs
20044,has led to,6,3,has led,6,1,to
20060,have plenty of,6,3,have plenty,6,1,of
20075,he talks about,6,3,he talks,6,1,about
20080,health res world,6,3,health res,6,1,world
20081,heavy on the,6,3,heavy on,6,1,the
20160,i listened to,6,3,i listened,6,1,to
20165,i pretty much,6,3,i pretty,6,1,much
20170,i refuse to,6,3,i refuse,6,1,to
20174,i signed up,6,3,i signed,6,1,up
20219,im all for,6,3,im all,6,1,for
20239,in contact with,6,3,in contact,6,1,with
20258,in relation to,6,3,in relation,6,1,to
20293,industrial safety agency,6,3,industrial safety,6,1,agency
20327,is willing to,6,3,is willing,6,1,to
20343,it occurred to,6,3,it occurred,6,1,to
20373,just around the,6,3,just around,6,1,the
20380,just thought id,6,3,just thought,6,1,id
20381,just trying to,6,3,just trying,6,1,to
20391,know nothing about,6,3,know nothing,6,1,about
20398,large amounts of,6,3,large amounts,6,1,of
20408,letting go of,6,3,letting go,6,1,of
20422,live up to,6,3,live up,6,1,to
20441,male and female,6,3,male and,6,1,female
20458,met up with,6,3,met up,6,1,with
20462,more harm than,6,3,more harm,6,1,than
20464,more interested in,6,3,more interested,6,1,in
20484,my take on,6,3,my take,6,1,on
20500,none other than,6,3,none other,6,1,than
20514,now back to,6,3,now back,6,1,to
20518,nuclear and industrial,6,3,nuclear and,6,1,industrial
20611,once or twice,6,3,once or,6,1,twice
20633,or want to,6,3,or want,6,1,to
20649,overwhelmed by the,6,3,overwhelmed by,6,1,the
20658,preheat oven to,6,3,preheat oven,6,1,to
20660,proved to be,6,3,proved to,6,1,be
20667,ran out of,6,3,ran out,6,1,of
20669,reactor turbine building,6,3,reactor turbine,6,1,building
20678,right next to,6,3,right next,6,1,to
20698,she needed to,6,3,she needed,6,1,to
20710,small group of,6,3,small group,6,1,of
20719,so let me,6,3,so let,6,1,me
20720,so make sure,6,3,so make,6,1,sure
20722,so off we,6,3,so off,6,1,we
20728,some form of,6,3,some form,6,1,of
20734,soon to be,6,3,soon to,6,1,be
20738,spent most of,6,3,spent most,6,1,of
20749,suffice it to,6,3,suffice it,6,1,to
20764,than last year,6,3,than last,6,1,year
20797,the arrival of,6,3,the arrival,6,1,of
20804,the collapse of,6,3,the collapse,6,1,of
20812,the exception of,6,3,the exception,6,1,of
20813,the existence of,6,3,the existence,6,1,of
20821,the footsteps of,6,3,the footsteps,6,1,of
20830,the labour party,6,3,the labour,6,1,party
20839,the ministry of,6,3,the ministry,6,1,of
20852,the occupy movement,6,3,the occupy,6,1,movement
20868,the perspective of,6,3,the perspective,6,1,of
20885,the spent fuel,6,3,the spent,6,1,fuel
20903,the verge of,6,3,the verge,6,1,of
20906,the washington post,6,3,the washington,6,1,post
21114,used nuclear fuel,6,3,used nuclear,6,1,fuel
21123,want people to,6,3,want people,6,1,to
21188,when faced with,6,3,when faced,6,1,with
21210,wide variety of,6,3,wide variety,6,1,of
21238,would no longer,6,3,would no,6,1,longer
21263,you name it,6,3,you name,6,1,it
22028,a blind eye to,6,4,a blind eye,6,1,to
22039,alcohol health res world,6,4,alcohol health res,6,1,world
22051,and industrial safety agency,6,4,and industrial safety,6,1,agency
22056,anything to do with,6,4,anything to do,6,1,with
22075,but the rest of,6,4,but the rest,6,1,of
22084,dont have time to,6,4,dont have time,6,1,to
22085,dont know about you,6,4,dont know about,6,1,you
22093,for about an hour,6,4,for about an,6,1,hour
22099,from start to finish,6,4,from start to,6,1,finish
22101,from the perspective of,6,4,from the perspective,6,1,of
22104,had a chance to,6,4,had a chance,6,1,to
22105,had to deal with,6,4,had to deal,6,1,with
22123,i cant tell you,6,4,i cant tell,6,1,you
22162,in a variety of,6,4,in a variety,6,1,of
22163,in an effort to,6,4,in an effort,6,1,to
22170,in the hope that,6,4,in the hope,6,1,that
22171,in the lives of,6,4,in the lives,6,1,of
22172,in the living room,6,4,in the living,6,1,room
22173,in the rest of,6,4,in the rest,6,1,of
22177,is a matter of,6,4,is a matter,6,1,of
22197,just around the corner,6,4,just around the,6,1,corner
22202,let me tell you,6,4,let me tell,6,1,you
22205,month and a half,6,4,month and a,6,1,half
22211,nuclear and industrial safety,6,4,nuclear and industrial,6,1,safety
22215,of the history of,6,4,of the history,6,1,of
22223,on the verge of,6,4,on the verge,6,1,of
22228,only a matter of,6,4,only a matter,6,1,of
22229,over a period of,6,4,over a period,6,1,of
22241,suffice it to say,6,4,suffice it to,6,1,say
22261,the look on his,6,4,the look on,6,1,his
22265,the reactor turbine building,6,4,the reactor turbine,6,1,building
22288,to learn how to,6,4,to learn how,6,1,to
22291,to say thank you,6,4,to say thank,6,1,you
22301,we cant wait to,6,4,we cant wait,6,1,to
22311,with a sense of,6,4,with a sense,6,1,of
22313,with the exception of,6,4,with the exception,6,1,of
22315,wont be able to,6,4,wont be able,6,1,to
22316,would be able to,6,4,would be able,6,1,to
22317,would be interesting to,6,4,would be interesting,6,1,to
22324,you are trying to,6,4,you are trying,6,1,to
22326,you have given me,6,4,you have given,6,1,me
22328,a big fan of,5,4,a big fan,5,1,of
22331,a good amount of,5,4,a good amount,5,1,of
22332,a huge fan of,5,4,a huge fan,5,1,of
22340,a wide variety of,5,4,a wide variety,5,1,of
22348,am i going to,5,4,am i going,5,1,to
22354,and i ended up,5,4,and i ended,5,1,up
22370,and will continue to,5,4,and will continue,5,1,to
22371,announce the winner of,5,4,announce the winner,5,1,of
22372,are a part of,5,4,are a part,5,1,of
22376,are still a few,5,4,are still a,5,1,few
22377,as a matter of,5,4,as a matter,5,1,of
22390,before the end of,5,4,before the end,5,1,of
22401,coming to an end,5,4,coming to an,5,1,end
22402,could come up with,5,4,could come up,5,1,with
22416,during the month of,5,4,during the month,5,1,of
22426,find it hard to,5,4,find it hard,5,1,to
22429,for a lot of,5,4,for a lot,5,1,of
22435,for the benefit of,5,4,for the benefit,5,1,of
22436,for the lack of,5,4,for the lack,5,1,of
22452,have a right to,5,4,have a right,5,1,to
22455,have the opportunity to,5,4,have the opportunity,5,1,to
22460,he thought it was,5,4,he thought it,5,1,was
22476,i do want to,5,4,i do want,5,1,to
22478,i dont give a,5,4,i dont give,5,1,a
22496,i know nothing about,5,4,i know nothing,5,1,about
22513,if we want to,5,4,if we want,5,1,to
22524,im not trying to,5,4,im not trying,5,1,to
22530,in item b above,5,4,in item b,5,1,above
22544,international atomic energy agency,5,4,international atomic energy,5,1,agency
22546,is a list of,5,4,is a list,5,1,of
22556,it has nothing to,5,4,it has nothing,5,1,to
22559,it is easier to,5,4,it is easier,5,1,to
22573,it was such a,5,4,it was such,5,1,a
22574,it will not be,5,4,it will not,5,1,be
22581,japan atomic industrial forum,5,4,japan atomic industrial,5,1,forum
22582,japans nuclear and industrial,5,4,japans nuclear and,5,1,industrial
22583,john smiths grand national,5,4,john smiths grand,5,1,national
22605,my all time favorite,5,4,my all time,5,1,favorite
22608,never be able to,5,4,never be able,5,1,to
22614,of the fact that,5,4,of the fact,5,1,that
22636,quite a long time,5,4,quite a long,5,1,time
22637,really looking forward to,5,4,really looking forward,5,1,to
22642,she was able to,5,4,she was able,5,1,to
22643,she was going to,5,4,she was going,5,1,to
22652,so there you have,5,4,so there you,5,1,have
22653,so we decided to,5,4,so we decided,5,1,to
22661,thank you very much,5,4,thank you very,5,1,much
22675,the crap out of,5,4,the crap out,5,1,of
22677,the cricket world cup,5,4,the cricket world,5,1,cup
22682,the first foreign application,5,4,the first foreign,5,1,application
22684,the great thing about,5,4,the great thing,5,1,about
22686,the hell out of,5,4,the hell out,5,1,of
22689,the international atomic energy,5,4,the international atomic,5,1,energy
22690,the japan atomic industrial,5,4,the japan atomic,5,1,industrial
22699,the next best thing,5,4,the next best,5,1,thing
22702,the paintball gun cases,5,4,the paintball gun,5,1,cases
22715,the second world war,5,4,the second world,5,1,war
22725,there are plenty of,5,4,there are plenty,5,1,of
22728,there has to be,5,4,there has to,5,1,be
22734,things i want to,5,4,things i want,5,1,to
22743,time and time again,5,4,time and time,5,1,again
22762,to make way for,5,4,to make way,5,1,for
22764,to name a few,5,4,to name a,5,1,few
22778,today i want to,5,4,today i want,5,1,to
22779,turn out to be,5,4,turn out to,5,1,be
22791,we look forward to,5,4,we look forward,5,1,to
22803,when you go to,5,4,when you go,5,1,to
22819,year and a half,5,4,year and a,5,1,half
22825,you can think of,5,4,you can think,5,1,of
1,the,1,1,0,1,1,the
13777,be able to,167,3,be able,168,0.994047619,to
13869,was able to,60,3,was able,61,0.983606557,to
86,able to,399,2,able,407,0.98034398,to
13996,looking forward to,40,3,looking forward,41,0.975609756,to
21287,i was able to,34,4,i was able,35,0.971428571,to
14106,the use of,33,3,the use,34,0.970588235,of
14140,a matter of,31,3,a matter,32,0.96875,of
14197,a pair of,29,3,a pair,30,0.966666667,of
21299,for the rest of,26,4,for the rest,27,0.962962963,of
21300,in the form of,26,4,in the form,27,0.962962963,of
14373,is such a,25,3,is such,26,0.961538462,a
14419,i ended up,24,3,i ended,25,0.96,up
14448,this kind of,24,3,this kind,25,0.96,of
3815,referring to,23,2,referring,24,0.958333333,to
21305,in the united states,23,4,in the united,24,0.958333333,states
21310,nothing to do with,22,4,nothing to do,23,0.956521739,with
13856,as long as,64,3,as long,67,0.955223881,as
14620,were able to,21,3,were able,22,0.954545455,to
14621,what kind of,21,3,what kind,22,0.954545455,of
21333,there are so many,19,4,there are so,20,0.95,many
14031,to deal with,37,3,to deal,39,0.948717949,with
1376,hundreds of,53,2,hundreds,56,0.946428571,of
2315,depending on,34,2,depending,36,0.944444444,on
15021,all sorts of,16,3,all sorts,17,0.941176471,of
15060,i managed to,16,3,i managed,17,0.941176471,to
15084,more or less,16,3,more or,17,0.941176471,less
21355,find a way to,16,4,find a way,17,0.941176471,to
21356,here are a few,16,4,here are a,17,0.941176471,few
13936,a bunch of,47,3,a bunch,50,0.94,of
